produk,tanggal,harga,qty,ln_P,ln_Q
L,2022-02-12,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-02-14,1750.0,40,7.4673710669175595,3.6888794541139363
L,2022-02-15,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-02-16,1750.0,180,7.4673710669175595,5.19295685089021
L,2022-02-17,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-02-19,1750.0,230,7.4673710669175595,5.438079308923196
L,2022-02-21,1750.0,20,7.4673710669175595,2.995732273553991
L,2022-02-22,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-02-23,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-02-24,1750.0,60,7.4673710669175595,4.0943445622221
L,2022-02-26,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-02-27,1750.0,130,7.4673710669175595,4.867534450455582
L,2022-02-28,1750.0,190,7.4673710669175595,5.247024072160486
L,2022-03-01,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-03-02,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-03-03,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-03-04,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-03-06,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-03-07,1750.0,60,7.4673710669175595,4.0943445622221
L,2022-03-08,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-03-09,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-03-10,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-03-11,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-03-12,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-03-14,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-03-16,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-03-17,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-03-18,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-03-19,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-03-21,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-03-22,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-03-23,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-03-24,1750.0,210,7.4673710669175595,5.3471075307174685
L,2022-03-25,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-03-26,1750.0,190,7.4673710669175595,5.247024072160486
L,2022-03-28,1750.0,30,7.4673710669175595,3.4011973816621555
L,2022-03-29,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-03-31,1750.0,130,7.4673710669175595,4.867534450455582
L,2022-04-01,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-04-02,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-04-04,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-04-05,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-04-06,1750.0,170,7.4673710669175595,5.135798437050262
L,2022-04-07,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-04-08,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-04-09,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-04-11,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-04-12,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-04-13,1750.0,210,7.4673710669175595,5.3471075307174685
L,2022-04-14,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-04-15,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-04-16,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-04-18,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-04-19,1750.0,150,7.4673710669175595,5.0106352940962555
L,2022-04-20,1750.0,130,7.4673710669175595,4.867534450455582
L,2022-04-21,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-04-22,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-04-23,1700.0,100,7.438383530044307,4.605170185988092
L,2022-04-25,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-04-26,1750.0,150,7.4673710669175595,5.0106352940962555
L,2022-04-28,1750.0,280,7.4673710669175595,5.634789603169249
L,2022-05-05,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-05-07,1750.0,40,7.4673710669175595,3.6888794541139363
L,2022-05-09,1750.0,220,7.4673710669175595,5.393627546352362
L,2022-05-10,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-05-11,1750.0,130,7.4673710669175595,4.867534450455582
L,2022-05-12,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-05-13,1700.0,200,7.438383530044307,5.298317366548036
L,2022-05-14,1750.0,190,7.4673710669175595,5.247024072160486
L,2022-05-16,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-05-17,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-05-19,1750.0,150,7.4673710669175595,5.0106352940962555
L,2022-05-20,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-05-21,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-05-24,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-05-25,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-05-26,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-05-27,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-05-30,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-05-31,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-06-01,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-06-02,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-06-03,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-06-04,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-06-06,1750.0,150,7.4673710669175595,5.0106352940962555
L,2022-06-07,1750.0,150,7.4673710669175595,5.0106352940962555
L,2022-06-08,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-06-09,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-06-10,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-06-11,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-06-13,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-06-14,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-06-15,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-06-16,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-06-17,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-06-18,1750.0,170,7.4673710669175595,5.135798437050262
L,2022-06-20,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-06-21,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-06-22,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-06-23,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-06-24,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-06-25,1750.0,130,7.4673710669175595,4.867534450455582
L,2022-06-27,1750.0,180,7.4673710669175595,5.19295685089021
L,2022-06-28,1750.0,200,7.4673710669175595,5.298317366548036
L,2022-06-29,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-06-30,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-07-01,1750.0,90,7.4673710669175595,4.499809670330265
L,2022-07-04,1750.0,150,7.4673710669175595,5.0106352940962555
L,2022-07-05,1750.0,190,7.4673710669175595,5.247024072160486
L,2022-07-06,1750.0,120,7.4673710669175595,4.787491742782046
